Java HotSpot(TM) 64-Bit Server VM (25.101-b13) for bsd-amd64 JRE (1.8.0_101-b13), built on Jun 22 2016 02:42:15 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 8388608k(1015292k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=1048576 -XX:NewSize=1048576 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
1.229: [GC (Allocation Failure) 1.229: [DefNew: 959K->64K(960K), 0.0029359 secs] 37637K->37629K(1048512K), 0.0029858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.252: [GC (Allocation Failure) 1.252: [DefNew: 960K->63K(960K), 0.0033777 secs] 38525K->38516K(1048512K), 0.0035301 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
1.275: [GC (Allocation Failure) 1.275: [DefNew: 959K->63K(960K), 0.0030259 secs] 39412K->39400K(1048512K), 0.0030848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.299: [GC (Allocation Failure) 1.299: [DefNew: 959K->64K(960K), 0.0030025 secs] 40296K->40285K(1048512K), 0.0030634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.321: [GC (Allocation Failure) 1.321: [DefNew: 960K->63K(960K), 0.0033931 secs] 41181K->41170K(1048512K), 0.0034573 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.346: [GC (Allocation Failure) 1.346: [DefNew: 959K->64K(960K), 0.0030689 secs] 42066K->42055K(1048512K), 0.0031262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.368: [GC (Allocation Failure) 1.368: [DefNew: 960K->64K(960K), 0.0028606 secs] 42951K->42938K(1048512K), 0.0029188 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.392: [GC (Allocation Failure) 1.392: [DefNew: 960K->64K(960K), 0.0032259 secs] 43834K->43822K(1048512K), 0.0032887 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.414: [GC (Allocation Failure) 1.414: [DefNew: 959K->64K(960K), 0.0029092 secs] 44718K->44706K(1048512K), 0.0029567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.438: [GC (Allocation Failure) 1.438: [DefNew: 960K->64K(960K), 0.0027342 secs] 45602K->45591K(1048512K), 0.0027841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.460: [GC (Allocation Failure) 1.460: [DefNew: 959K->64K(960K), 0.0027054 secs] 46487K->46475K(1048512K), 0.0027548 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.485: [GC (Allocation Failure) 1.486: [DefNew: 960K->63K(960K), 0.0073221 secs] 47371K->47357K(1048512K), 0.0074323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.514: [GC (Allocation Failure) 1.514: [DefNew: 959K->63K(960K), 0.0038873 secs] 48253K->48242K(1048512K), 0.0039488 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.538: [GC (Allocation Failure) 1.538: [DefNew: 959K->64K(960K), 0.0027981 secs] 49137K->49126K(1048512K), 0.0028447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.560: [GC (Allocation Failure) 1.560: [DefNew: 960K->64K(960K), 0.0024725 secs] 50022K->50010K(1048512K), 0.0025261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.585: [GC (Allocation Failure) 1.585: [DefNew: 960K->63K(960K), 0.0025651 secs] 50906K->50893K(1048512K), 0.0026074 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.608: [GC (Allocation Failure) 1.608: [DefNew: 959K->63K(960K), 0.0026538 secs] 51789K->51777K(1048512K), 0.0026980 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.635: [GC (Allocation Failure) 1.635: [DefNew: 959K->63K(960K), 0.0026228 secs] 52673K->52661K(1048512K), 0.0026666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.659: [GC (Allocation Failure) 1.659: [DefNew: 959K->63K(960K), 0.0025258 secs] 53557K->53546K(1048512K), 0.0025698 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.684: [GC (Allocation Failure) 1.684: [DefNew: 959K->63K(960K), 0.0119317 secs] 54442K->54428K(1048512K), 0.0121335 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.716: [GC (Allocation Failure) 1.716: [DefNew: 959K->63K(960K), 0.0024636 secs] 55324K->55312K(1048512K), 0.0025081 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.739: [GC (Allocation Failure) 1.739: [DefNew: 959K->63K(960K), 0.0028946 secs] 56208K->56196K(1048512K), 0.0029469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.763: [GC (Allocation Failure) 1.763: [DefNew: 959K->63K(960K), 0.0024225 secs] 57092K->57081K(1048512K), 0.0024707 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.791: [GC (Allocation Failure) 1.791: [DefNew: 959K->63K(960K), 0.0043551 secs] 59001K->58987K(1048512K), 0.0043998 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
1.817: [GC (Allocation Failure) 1.817: [DefNew: 959K->64K(960K), 0.0024470 secs] 59883K->59872K(1048512K), 0.0024964 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.842: [GC (Allocation Failure) 1.842: [DefNew: 959K->63K(960K), 0.0025293 secs] 60768K->60756K(1048512K), 0.0025726 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.866: [GC (Allocation Failure) 1.866: [DefNew: 959K->63K(960K), 0.0024611 secs] 61652K->61640K(1048512K), 0.0025000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.891: [GC (Allocation Failure) 1.891: [DefNew: 959K->63K(960K), 0.0026393 secs] 62536K->62523K(1048512K), 0.0026859 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.913: [GC (Allocation Failure) 1.913: [DefNew: 959K->63K(960K), 0.0024208 secs] 63419K->63407K(1048512K), 0.0024605 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.936: [GC (Allocation Failure) 1.936: [DefNew: 959K->63K(960K), 0.0026815 secs] 64303K->64291K(1048512K), 0.0027306 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.960: [GC (Allocation Failure) 1.960: [DefNew: 959K->64K(960K), 0.0031406 secs] 65187K->65178K(1048512K), 0.0031851 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.986: [GC (Allocation Failure) 1.986: [DefNew: 960K->64K(960K), 0.0052002 secs] 66074K->66072K(1048512K), 0.0053297 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.013: [GC (Allocation Failure) 2.013: [DefNew: 960K->63K(960K), 0.0025828 secs] 66968K->66964K(1048512K), 0.0026244 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.037: [GC (Allocation Failure) 2.037: [DefNew: 959K->64K(960K), 0.0028422 secs] 67860K->67856K(1048512K), 0.0028897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.063: [GC (Allocation Failure) 2.063: [DefNew: 960K->63K(960K), 0.0027487 secs] 68752K->68748K(1048512K), 0.0027924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.087: [GC (Allocation Failure) 2.088: [DefNew: 959K->63K(960K), 0.0027688 secs] 69644K->69638K(1048512K), 0.0028176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.113: [GC (Allocation Failure) 2.113: [DefNew: 959K->64K(960K), 0.0027524 secs] 70534K->70527K(1048512K), 0.0028062 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.139: [GC (Allocation Failure) 2.139: [DefNew: 960K->64K(960K), 0.0035989 secs] 71423K->71421K(1048512K), 0.0036648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.164: [GC (Allocation Failure) 2.164: [DefNew: 959K->63K(960K), 0.0025943 secs] 72317K->72315K(1048512K), 0.0026356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.190: [GC (Allocation Failure) 2.190: [DefNew: 959K->63K(960K), 0.0028953 secs] 73211K->73207K(1048512K), 0.0029455 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.215: [GC (Allocation Failure) 2.215: [DefNew: 959K->63K(960K), 0.0026641 secs] 74103K->74099K(1048512K), 0.0027053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.238: [GC (Allocation Failure) 2.239: [DefNew: 959K->63K(960K), 0.0039536 secs] 74995K->74994K(1048512K), 0.0040160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.266: [GC (Allocation Failure) 2.266: [DefNew: 959K->64K(960K), 0.0027851 secs] 75890K->75886K(1048512K), 0.0028395 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.291: [GC (Allocation Failure) 2.291: [DefNew: 960K->63K(960K), 0.0028353 secs] 76782K->76777K(1048512K), 0.0028783 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.316: [GC (Allocation Failure) 2.316: [DefNew: 959K->64K(960K), 0.0028452 secs] 77673K->77670K(1048512K), 0.0028894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.341: [GC (Allocation Failure) 2.341: [DefNew: 960K->63K(960K), 0.0027793 secs] 78566K->78563K(1048512K), 0.0028242 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.367: [GC (Allocation Failure) 2.367: [DefNew: 959K->63K(960K), 0.0028526 secs] 79459K->79455K(1048512K), 0.0028937 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2.391: [GC (Allocation Failure) 2.391: [DefNew: 959K->63K(960K), 0.0026532 secs] 80351K->80346K(1048512K), 0.0027050 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.416: [GC (Allocation Failure) 2.416: [DefNew: 959K->63K(960K), 0.0046176 secs] 81242K->81238K(1048512K), 0.0047149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.444: [GC (Allocation Failure) 2.444: [DefNew: 959K->63K(960K), 0.0028180 secs] 82134K->82133K(1048512K), 0.0028636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.468: [GC (Allocation Failure) 2.468: [DefNew: 959K->64K(960K), 0.0029291 secs] 83029K->83025K(1048512K), 0.0029758 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.494: [GC (Allocation Failure) 2.494: [DefNew: 960K->64K(960K), 0.0027311 secs] 83921K->83916K(1048512K), 0.0027718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.518: [GC (Allocation Failure) 2.518: [DefNew: 960K->63K(960K), 0.0027905 secs] 84812K->84809K(1048512K), 0.0028378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.544: [GC (Allocation Failure) 2.544: [DefNew: 959K->63K(960K), 0.0028519 secs] 85705K->85702K(1048512K), 0.0028978 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.570: [GC (Allocation Failure) 2.570: [DefNew: 959K->63K(960K), 0.0028953 secs] 86598K->86594K(1048512K), 0.0029416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.595: [GC (Allocation Failure) 2.595: [DefNew: 959K->63K(960K), 0.0030821 secs] 87490K->87485K(1048512K), 0.0031373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.620: [GC (Allocation Failure) 2.620: [DefNew: 959K->63K(960K), 0.0076312 secs] 88381K->88377K(1048512K), 0.0077633 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2.650: [GC (Allocation Failure) 2.651: [DefNew: 959K->63K(960K), 0.0028543 secs] 89273K->89272K(1048512K), 0.0028967 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.675: [GC (Allocation Failure) 2.675: [DefNew: 959K->64K(960K), 0.0027648 secs] 90168K->90164K(1048512K), 0.0028089 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.701: [GC (Allocation Failure) 2.701: [DefNew: 960K->63K(960K), 0.0028624 secs] 91060K->91055K(1048512K), 0.0029052 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.726: [GC (Allocation Failure) 2.726: [DefNew: 959K->64K(960K), 0.0030844 secs] 91951K->91948K(1048512K), 0.0031248 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.749: [GC (Allocation Failure) 2.749: [DefNew: 960K->64K(960K), 0.0026881 secs] 92844K->92841K(1048512K), 0.0027332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.775: [GC (Allocation Failure) 2.775: [DefNew: 960K->64K(960K), 0.0029941 secs] 93737K->93733K(1048512K), 0.0030381 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.800: [GC (Allocation Failure) 2.800: [DefNew: 960K->63K(960K), 0.0030291 secs] 94629K->94624K(1048512K), 0.0031600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.824: [GC (Allocation Failure) 2.824: [DefNew: 959K->63K(960K), 0.0065552 secs] 95520K->95519K(1048512K), 0.0067982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.854: [GC (Allocation Failure) 2.854: [DefNew: 959K->63K(960K), 0.0030471 secs] 96415K->96410K(1048512K), 0.0030927 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.880: [GC (Allocation Failure) 2.880: [DefNew: 959K->63K(960K), 0.0030609 secs] 97306K->97303K(1048512K), 0.0031068 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2.905: [GC (Allocation Failure) 2.905: [DefNew: 959K->63K(960K), 0.0030770 secs] 98199K->98197K(1048512K), 0.0031400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.931: [GC (Allocation Failure) 2.931: [DefNew: 959K->63K(960K), 0.0028085 secs] 99093K->99091K(1048512K), 0.0028551 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.957: [GC (Allocation Failure) 2.957: [DefNew: 959K->64K(960K), 0.0031111 secs] 99987K->99983K(1048512K), 0.0031640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
